Name,Pos,Total,Url
Taylor Swift,99,"885,234,287",artist/06HL4z0CvFAxyc27GXpf02.html
Galantis,100,"883,661,530",artist/4sTQVOfp9vEMCemLw50sbu.html
Yandel,101,"877,608,949",artist/0eHQ9o50hj6ZDNBt6Ys1sD.html
Eminem,102,"868,933,345",artist/7dGJo4pcD2V6oG8kP0tJRR.html
2 Chainz,103,"854,253,569",artist/17lzZA2AlOHwCwFALHttmp.html
Iggy Azalea,104,"812,148,255",artist/5yG7ZAZafVaAlMTeBybKAL.html
Jess Glynne,105,"787,163,625",artist/4ScCswdRlyA23odg9thgIO.html
Desiigner,106,"781,518,067",artist/7pFeBzX627ff0VnN6bxPR4.html
A$AP Rocky,107,"775,406,434",artist/13ubrt8QOOCPljQ2FL1Kca.html
Bad Bunny,108,"770,434,468",artist/4q3ewBCX7sLwd24euuV69X.html
21 Savage,109,"749,148,107",artist/1URnnhqYAYcrqrcwql10ft.html
Skrillex,110,"746,188,397",artist/5he5w2lnU9x7JFhnwcekXX.html
OMI,111,"741,235,216",artist/5MouCg6ta7zAxsfMEbc1uh.html
Lorde,112,"739,973,624",artist/163tK9Wjr9P9DmM0AVK7lm.html
DNCE,113,"734,583,579",artist/6T5tfhQCknKG4UnH90qGnz.html
Young Thug,114,"711,977,151",artist/50co4Is1HCEo8bhOyUWKpn.html
James Arthur,115,"709,339,108",artist/4IWBUUAFIplrNtaOHcJPRM.html
Macklemore & Ryan Lewis,116,"698,097,084",artist/5BcAKTbp20cv7tC5VqPFoC.html
Little Mix,117,"680,882,213",artist/3e7awlrlDSwF3iM0WBjGMp.html
Diplo,118,"673,985,037",artist/5fMUXHkw8R8eOP2RNVYEZX.html
French Montana,119,"664,670,888",artist/6vXTefBL93Dj5IqAWq6OTv.html
Mark Ronson,120,"653,110,445",artist/3hv9jJF3adDNsBSIQDqcjp.html
JP Cooper,121,"638,989,886",artist/4kYGAK2zu9EAomwj3hXkXy.html
Hozier,122,"627,783,217",artist/2FXC3k01G6Gw61bmprjgqS.html
Fuse Odg,123,"624,614,228",artist/374sWpAJsbZckf98df2jJJ.html
Nyla,124,"616,764,725",artist/4VZY0nxYMSNotbS7WjNVQy.html
Matoma,125,"616,502,616",artist/4YXycRbyyAE0wozTk7QMEq.html
Kodak Black,126,"606,395,259",artist/46SHBwWsqBkxI7EeeBEQG7.html
Jeremih,127,"594,121,251",artist/3KV3p5EY4AvKxOlhGHORLg.html
Gente De Zona,128,"576,004,386",artist/2cy1zPcrFcXAJTP0APWewL.html
Sebastian Yatra,129,"575,369,877",artist/07YUOmWljBTXwIseAUd9TW.html
PARTYNEXTDOOR,130,"574,650,267",artist/2HPaUgqeutzr3jx5a9WyDV.html
X Ambassadors,131,"571,123,029",artist/3NPpFNZtSTHheNBaWC82rB.html
CNCO,132,"555,177,909",artist/0eecdvMrqBftK0M1VKhaF4.html
Kid Ink,133,"551,306,749",artist/6KZDXtSj0SzGOV705nNeh3.html
Descemer Bueno,134,"537,660,293",artist/5luyt0SUvGkDMY4ILP6Qhl.html
Arcangel,135,"533,416,479",artist/4SsVbpTthjScTS7U2hmr1X.html
Jack Ü,136,"531,141,913",artist/1HxJeLhIuegM3KgvPn8sTa.html
Flume,137,"514,897,931",artist/6nxWCVXbOlEVRexSbLsTer.html
Dakota,138,"509,035,476",artist/2zzpznMuhKlKlqh1ma7Sms.html
Grey,139,"506,421,955",artist/5pwZyP4HHt00ZpyFnOBxjZ.html
Lost Frequencies,140,"502,243,042",artist/7f5Zgnp2spUuuzKplmRkt7.html
Miley Cyrus,141,"500,171,995",artist/5YGY8feqx7naU7z4HrwZM6.html
Rita Ora,142,"498,331,491",artist/5CCwRZC6euC8Odo6y9X8jr.html
ROZES,143,"498,162,126",artist/6jsjhAEteAlY0vCiLvMLBA.html
gnash,144,"496,518,542",artist/3iri9nBFs9e4wN7PLIetAw.html
Olivia O'Brien,145,"496,317,558",artist/1QRj3hoop9Mv5VvHQkwPEp.html
Swae Lee,146,"489,056,118",artist/1zNqQNIdeOUZHb8zbZRFMX.html
Starley,147,"487,713,503",artist/02A3cEvlLLCbIMVDrK2GHV.html
Ryan Riback,148,"485,824,324",artist/33JQK4UoS2aMPYBfdB5Ftt.html
Charli XCX,149,"485,739,210",artist/25uiPmTg16RbhZWAqwLBy5.html
Frank Ocean,150,"485,068,087",artist/2h93pZq0e7k5yf4dywlkpM.html
Passenger,151,"485,064,418",artist/0gadJ2b9A4SKsB1RFkBb66.html
Troye Sivan,152,"484,827,036",artist/3WGpXCj9YhhfX11TToZcXP.html
Juicy J,153,"483,462,369",artist/5gCRApTajqwbnHHPbr2Fpi.html
Bipolar Sunshine,154,"482,273,605",artist/0CjWKoS55T7DOt0HJuwF1H.html
