,Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.85) + residual,Explained constant
73,Jordan,5.335999965667725,5.44841002240777,5.223589908927679,0.9910123944282532,1.2390888929367065,0.6045900583267212,0.4184211492538452,0.1721704602241516,0.11980327218770981,1.7911765575408936,1
74,Hungary,5.323999881744385,5.403039709180593,5.2449600543081765,1.2860119342803955,1.3431330919265747,0.6877634525299072,0.17586351931095123,0.07840166240930557,0.03663693740963936,1.7164592742919922,1
75,Jamaica,5.310999870300293,5.581398728489876,5.04060101211071,0.925579309463501,1.3682180643081665,0.6410223841667175,0.47430723905563354,0.23381833732128143,0.055267781019210815,1.612325668334961,1
76,Croatia,5.293000221252441,5.391777204573154,5.194223237931729,1.222556233406067,0.9679830074310303,0.7012885212898254,0.25577229261398315,0.24800297617912292,0.043103110045194626,1.854492425918579,1
77,Kosovo,5.2789998054504395,5.364847995489836,5.193151615411043,0.9514843821525574,1.1378535032272339,0.5414520502090454,0.26028794050216675,0.3199314475059509,0.0574716180562973,2.010540723800659,1
78,China,5.2729997634887695,5.319278089776635,5.226721437200904,1.0811657905578613,1.1608374118804932,0.7414155006408691,0.4727877080440521,0.028806841000914574,0.022794274613261223,1.7649385929107666,1
79,Pakistan,5.269000053405762,5.35998364135623,5.178016465455293,0.7268835306167603,0.6726906895637512,0.4020477831363678,0.23521526157855988,0.31544601917266846,0.12434806674718857,2.7924892902374268,1
80,Indonesia,5.26200008392334,5.352888598144054,5.171111569702625,0.995538592338562,1.2744446992874146,0.4923457205295563,0.4433234632015228,0.6117045879364014,0.015317135490477085,1.4294769763946533,1
81,Venezuela,5.25,5.370031945556402,5.129968054443598,1.1284312009811401,1.431337594985962,0.6171442270278931,0.15399712324142456,0.0650196298956871,0.06449112296104431,1.789463758468628,1
82,Montenegro,5.236999988555908,5.341044440567494,5.132955536544323,1.121129035949707,1.238376498222351,0.6674646735191345,0.19498905539512634,0.19791102409362793,0.08817419409751892,1.729191541671753,1
83,Morocco,5.235000133514404,5.3183409647643565,5.151659302264452,0.8781145811080933,0.7748644351959229,0.5977106690406799,0.4081583321094513,0.03220995515584946,0.08776318281888962,2.4561893939971924,1
84,Azerbaijan,5.234000205993652,5.299286535233259,5.168713876754046,1.1536017656326294,1.152400255203247,0.5407757759094238,0.3981558382511139,0.04526934027671814,0.18098750710487366,1.762481689453125,1
85,Dominican Republic,5.230000019073486,5.349060885161162,5.110939152985811,1.079373836517334,1.402416706085205,0.5748737454414368,0.5525898337364197,0.1869678497314453,0.11394525319337845,1.319465160369873,1
86,Greece,5.2270002365112305,5.325246169418096,5.128754303604365,1.2894874811172485,1.2394145727157593,0.8101989030838013,0.09573125094175339,0.0,0.043289776891469955,1.7492215633392334,1
87,Lebanon,5.224999904632568,5.318882288485765,5.131117520779371,1.074987530708313,1.1296242475509644,0.7350810766220093,0.28851598501205444,0.2644507586956024,0.03751382976770401,1.6950738430023193,1
88,Portugal,5.195000171661377,5.285041733086109,5.104958610236645,1.3151752948760986,1.3670430183410645,0.7958435416221619,0.49846529960632324,0.0951027125120163,0.01586945168673992,1.107682704925537,1
89,Bosnia and Herzegovina,5.182000160217285,5.276335686743259,5.087664633691311,0.9824094176292419,1.0693359375,0.7051863074302673,0.20440317690372467,0.32886749505996704,0.0,1.8921725749969482,1
90,Honduras,5.181000232696533,5.301582796871662,5.060417668521405,0.7305731177330017,1.1439449787139893,0.5825694799423218,0.3480798602104187,0.2361888736486435,0.07334545254707336,2.0658111572265625,1
91,Macedonia,5.175000190734863,5.272172639667988,5.077827741801738,1.0645779371261597,1.2078930139541626,0.6449481844902039,0.325905978679657,0.25376096367836,0.0602777935564518,1.617469310760498,1
92,Somalia,5.151000022888184,5.242483709901571,5.059516335874796,0.022643184289336205,0.7211513519287109,0.11398913711309433,0.602126955986023,0.2916313111782074,0.28241032361984253,3.1174845695495605,1
93,Vietnam,5.073999881744385,5.147280764579773,5.000718998908996,0.7885475754737854,1.2774913311004639,0.6521689891815186,0.5710555911064148,0.23496805131435394,0.08763323724269867,1.4623186588287354,1
94,Nigeria,5.073999881744385,5.209500135481358,4.938499628007412,0.7837562561035156,1.2157704830169678,0.056915730237960815,0.39495256543159485,0.23094719648361206,0.02612156607210636,2.3653905391693115,1
95,Tajikistan,5.040999889373779,5.111425595879555,4.9705741828680035,0.5247136354446411,1.2714632749557495,0.5292351245880127,0.47156670689582825,0.24899764358997345,0.14637714624404907,1.8490493297576904,1
96,Bhutan,5.011000156402588,5.079334562122821,4.942665750682354,0.8854163885116577,1.3401265144348145,0.49587929248809814,0.5015376806259155,0.4740545451641083,0.17338038980960846,1.1401844024658203,1
97,Kyrgyzstan,5.004000186920166,5.089919903129339,4.918080470710993,0.596220076084137,1.3942385911941528,0.5534577965736389,0.45494338870048523,0.4285803735256195,0.03943917900323868,1.5367231369018555,1
98,Nepal,4.961999893188477,5.067356079369784,4.856643707007169,0.479820191860199,1.1792832612991333,0.5041307806968689,0.4403059482574463,0.39409616589546204,0.07297554612159729,1.8912410736083984,1
99,Mongolia,4.954999923706055,5.021679509133101,4.888320338279009,1.0272358655929565,1.493011236190796,0.5577834844589233,0.3941439688205719,0.33846423029899597,0.03290228918194771,1.1112923622131348,1
